Data S1. List of Border Protected Areas,,
WDPAID,NAME,ISO3
18939,Hajdúsági Tájvédelmi Körzet,HUN
18946,Montesinho,PRT
18996,Mantet,FRA
19015,Popradzki Park Krajobrazowy,POL
19029,Srebarna,BGR
19034,Zahorie,SVK
19166,"Göll,Hagen-,Hochköniggeb.,Steinernes M.",AUT
19187,Untersberg,AUT
19198,Murauen (Mureck-Bad Radkersburg-Klöch),AUT
19223,"Gleichenberger Kogel, Kapfenstein, Straden Kogel",AUT
19231,Rellstal und Lünerseegebiet,AUT
19236,Hochifen und Gottesackerwände,AUT
19275,Parque Nacional Da Serra Do Divisor,BRA
19564,Tsavo West,KEN
19621,Volcán Tupungato,ARG
19633,Agua Dulce,ARG
19672,Phu Chong - Na Yoi,THA
19683,Kachchh Desert,IND
19710,Gumti,IND
19726,Malka Mari,KEN
19762,Parque Nacional Do Monte Roraima,BRA
19964,International Thomas-Sterry-Hunt Ecological Reserve,CAN
19967,Milk River Natural Area,CAN
19991,Puinawai,COL
19993,Catatumbo Bari,COL
20058,Korup,CMR
20068,Región Lago de Maracaibo (Sierra de Perijá) (Polígonos 1 y 2),VEN
20087,Distrito Páez del Estado Apure,VEN
20088,Zona Sur Lago de Maracaibo,VEN
20224,Rio Bravo Conservation & Management Area,BLZ
20229,Caracol,BLZ
20230,Chiquibul,BLZ
20260,Estuario del Muni,GNQ
20295,Limpopo,MOZ
20299,Cross River,NGA
20324,Bili-Uere,COD
20327,Gangala-na-Bodio,COD
20331,Rutshuru,COD
20334,Swa-Kibula,COD
20341,Chirinda,ZWE
20347,Kavira,ZWE
20348,Kazuma,ZWE
20399,Mosi-oa-Tunya / Victoria Falls,ZMB;ZWE
20640,Prats-De-Mollo-La-Preste,FRA
20673,Serra de São Mamede,PRT
20679,Shikahogh,ARM
20683,Surkhan State Reserve,UZB
20695,Dolina Pcinje,SRB
20696,Prespansko Ezero,MKD
20723,Schachen und Reintal,DEU
20778,Gubener Fließtäler,DEU
20780,Haffküste,DEU
20835,Neißeaue im Kreis Forst,DEU
20841,Oberes Vogtland,DEU
20846,Osterzgebirge,DEU
20920,Zittauer Gebirge,DEU
20938,Sierra de Aracena y Picos de Aroche,ESP
20965,Larra,ESP
20987,Ñacunday,PRY
20989,Reserva Biológica Limoy,PRY
20991,Refugio Biológico Mbaracayú,PRY
21193,Akamina-Kishinena Park,CAN
21212,Moconá,ARG
21223,Epulauquen,ARG
21226,Cabo Vírgenes,ARG
22490,Wrangell-St. Elias,USA
22503,Coronado,USA
22571,Grand Portage,USA
23293,Turtle Mountain Provincial Park,CAN
26164,Manas,IND
26447,Marago River,GHA
26501,Red Volta East,GHA
26505,Apepesu River,GHA
26544,Red Volta West,GHA
26547,Sisilli North,GHA
26548,Tankara,GHA
26576,Banti,ZWE
26586,Mudima,ZWE
26588,Tandai,ZWE
26589,Stapleford,ZWE
26605,Makalu-Barun - Buffer Zone,NPL
26606,Makalu-Barun,NPL
26693,Mukalizi,ZMB
26701,Chavuma,ZMB
26703,Chimalilo,ZMB
26719,Majamu,ZMB
26722,Luinga,ZMB
26725,Kafweko,ZMB
26726,Chibunda,ZMB
26729,Mufundwa 'B',ZMB
26732,Kafue H/waters,ZMB
26737,Luwenga,ZMB
26741,Pamadzi,ZMB
26751,Mkwawe,ZMB
26766,Kamkomole,ZMB
26776,Lunga Hills,ZMB
26809,Musangashi,ZMB
26837,Msima,ZMB
26942,Serenje,ZMB
26944,Lundazi,ZMB
26957,Lungu,ZMB
26961,Mulenga,ZMB
26976,Ngazhi,ZMB
26978,Misambo,ZMB
26987,Mkushi Headwaters,ZMB
26991,Mzewe South,ZMB
26996,Ndola East,ZMB
27005,Luombwa,ZMB
27022,Mitenge,ZMB
27023,Mafinga Hills,ZMB
27042,Misaka,ZMB
27047,Chati,ZMB
27052,Nsato,ZMB
27054,Kamenza,ZMB
27056,Dome,ZMB
27062,Chondwe,ZMB
27065,Kafwira,ZMB
27066,Kipushi,ZMB
27071,Border,ZMB
27075,Musaka,ZMB
27076,Chamato,ZMB
27078,Kansamfwe,ZMB
27083,Mwekera East,ZMB
27102,Ngala,ZMB
27136,Nyakulenga,ZMB
